,Year,Swath,Total Area $m^2$,Total Volume $m^3$,Mean Depth $m$,Std. Depth $m$,Snowdrift Depth Threshold $m$,%DA,%DV,Total Drift Area $m^2$,Total Drift Volume $m^3$,Drift Susceptibility $m$,Drift Volume / Drift Area (Avg. Drift Depth) $m$
0,2013,CLPX,78752301.0,41410132.0,0.526,0.199,0.68,16.94387190032708,26.166945695877075,13343689,10835767.0,0.1375930209328106,0.8120518246490906
1,2016,CLPX,93228981.0,43240260.0,0.464,0.219,0.65,14.4902173713558,25.64648985862732,13509082,11089609.0,0.11895023286803917,0.8209002654658547
2,2015,CLPX,95438205.0,52225430.0,0.547,0.312,0.77,20.51836264104087,36.66660189628601,19582357,19149292.0,0.2006459782012874,0.9778849399998172
3,2017,CLPX,94289483.0,47133824.0,0.5,0.267,0.7,18.153380902512744,32.91392922401428,17116729,15513594.0,0.164531541656666,0.9063410421465457
4,2018,CLPX,109872666.98119868,54082970.0,0.577,0.376,0.81,21.237486362921366,38.44462335109711,31080363.999999966,29326779.000000097,0.2669160566114088,0.9435790069897549
5,2012,CLPX,77118048.0,27990718.0,0.363,0.236,0.58,14.47020806335762,30.491483211517334,11159142,8534785.0,0.1106716938686,0.7648244820255894
6,2013,HV,20682838.0,12593597.0,0.609,0.276,0.79,17.115267256843573,29.896369576454163,3539923,3765028.2,0.18203634578581526,1.063590436854135
7,2015,HV,28535569.0,20207564.0,0.708,0.225,0.85,17.42734830344543,26.010137796401978,4972993,5256015.5,0.1841917187633441,1.056911903958039
8,2018,HV,27951986.0,18123288.0,0.648,0.335,0.84,19.871850966153172,35.132795572280884,5554577,6367217.5,0.227791238161038,1.1463010594686147
9,2016,HV,26262607.0,13784557.0,0.525,0.179,0.63,19.233996838166142,28.72925102710724,5051349,3960200.0,0.15079234136961345,0.7839885939379758
10,2017,HV,27841113.0,17662130.0,0.634,0.296,0.82,17.649118409885407,30.91396987438202,4913711,5460065.5,0.19611520200359805,1.1111897911781952
11,2012,HV,35022546.98119868,10643740.0,0.562,0.264,0.73,15.809644816693924,28.719601035118103,16339939.999999966,13892606.7500001,0.39667608290905093,0.8502238533311707
