nrmse,ssim,cwssim,gms,Class,Swath,Winters
0.4591899514198303,0.8989436079682059,0.897,0.863,watertrack,HV,2012 v. 2018
0.3923212289810181,0.8866991875656538,0.8845000000000001,0.875,watertrack,HV,2015 v. 2018
0.5419785082340239,0.8965146438356695,0.9275,0.858,watertrack,HV,2017 v. 2018
0.35365527868270874,0.8391282671955116,0.8165,0.835,watertrack,HV,2016 v. 2018
0.474815309047699,0.8891717756465983,0.922,0.858,watertrack,HV,2013 v. 2018
0.4637390971183777,0.8731258828868134,0.9305,0.85,watertrack,HV,2012 v. 2015
0.5420048236846924,0.9261527471229616,0.8985000000000001,0.892,watertrack,HV,2012 v. 2017
0.4883506894111633,0.8980066258856371,0.89,0.87,watertrack,HV,2012 v. 2016
0.531021237373352,0.9183129136380404,0.905,0.888,watertrack,HV,2012 v. 2013
0.4686721563339234,0.8585594035975377,0.8859999999999999,0.843,watertrack,HV,2015 v. 2017
0.4638341069221497,0.8350428790532485,0.908,0.83,watertrack,HV,2015 v. 2016
0.43034243583679205,0.843711323754951,0.903,0.845,watertrack,HV,2013 v. 2015
0.4401869773864746,0.8788744373481698,0.8405,0.857,watertrack,HV,2016 v. 2017
0.5545249581336975,0.9091373810312888,0.9185,0.8759999999999999,watertrack,HV,2013 v. 2017
0.436375617980957,0.8707827917466179,0.85,0.8540000000000001,watertrack,HV,2013 v. 2016
0.5071251690387726,0.9275589644407676,0.866,0.893,ice,HV,2012 v. 2015
0.5135476291179657,0.9190428290489128,0.8795,0.884,ice,HV,2015 v. 2017
0.3872614502906799,0.8867594162242981,0.848,0.87,ice,HV,2013 v. 2015
0.4685044288635254,0.9049608331121632,0.8225,0.878,ice,HV,2015 v. 2016
0.530804455280304,0.91896422119246,0.858,0.884,ice,HV,2015 v. 2018
0.6268311738967896,0.9492947982117704,0.8614999999999999,0.9079999999999999,ice,HV,2012 v. 2017
0.5936981737613678,0.9254823066543654,0.841,0.8809999999999999,ice,HV,2012 v. 2013
0.6105987131595612,0.9495452462615076,0.8315,0.9059999999999999,ice,HV,2012 v. 2016
0.5792379677295685,0.9373570041694992,0.8365,0.893,ice,HV,2012 v. 2018
0.5888769626617432,0.9112185771959908,0.877,0.8740000000000001,ice,HV,2013 v. 2017
0.5586983561515808,0.9280737805998568,0.7835,0.889,ice,HV,2016 v. 2017
0.6487633883953094,0.928733677434176,0.8895,0.884,ice,HV,2017 v. 2018
0.5801443159580231,0.907842263376756,0.7759999999999999,0.8690000000000001,ice,HV,2013 v. 2016
0.5545085370540619,0.9028055095042008,0.8540000000000001,0.872,ice,HV,2013 v. 2018
0.5183607041835785,0.9122258468212496,0.7585,0.8759999999999999,ice,HV,2016 v. 2018
0.22727686166763306,0.7706204191902043,0.7909999999999999,0.833,lake,CLPX,2016 v. 2017
0.1239532232284546,0.8188728774569943,0.7905,0.8280000000000001,lake,CLPX,2016 v. 2018
0.0384366512298584,0.7746038553950833,0.7865,0.8079999999999999,lake,CLPX,2012 v. 2016
0.29761070013046265,0.7322825482776598,0.8109999999999999,0.841,lake,CLPX,2013 v. 2016
0.13523000478744507,0.7723781220835816,0.8009999999999999,0.815,lake,CLPX,2015 v. 2016
0.2919543981552124,0.7750224822162912,0.848,0.838,lake,CLPX,2017 v. 2018
0.1292446255683899,0.7172369141310732,0.7675000000000001,0.8220000000000001,lake,CLPX,2012 v. 2017
0.277827262878418,0.814909750943775,0.7909999999999999,0.858,lake,CLPX,2013 v. 2017
0.1785164475440979,0.7688241375694279,0.8105,0.831,lake,CLPX,2015 v. 2017
0.18339288234710693,0.7946368646366152,0.8049999999999999,0.815,lake,CLPX,2012 v. 2018
0.10182863473892212,0.7032944448506937,0.767,0.835,lake,CLPX,2013 v. 2018
0.3135454058647156,0.7711901128788654,0.8240000000000001,0.812,lake,CLPX,2015 v. 2018
-0.07005965709686279,0.6737485372986102,0.7745,0.8200000000000001,lake,CLPX,2012 v. 2013
0.2833683490753174,0.731449815448828,0.8240000000000001,0.7929999999999999,lake,CLPX,2012 v. 2015
0.1490146517753601,0.7476119344932385,0.804,0.833,lake,CLPX,2013 v. 2015
0.507951557636261,0.8879602085631195,0.8285,0.865,stream,HV,2015 v. 2017
0.43430930376052856,0.8945585612184583,0.804,0.868,stream,HV,2016 v. 2017
0.5791682600975037,0.8925981205012733,0.8305,0.86,stream,HV,2013 v. 2017
0.5362170934677124,0.9155177876759948,0.8255,0.882,stream,HV,2012 v. 2017
0.6349070072174072,0.8987768880239879,0.8435,0.8640000000000001,stream,HV,2017 v. 2018
0.4663073420524597,0.8726508667210064,0.835,0.857,stream,HV,2015 v. 2016
0.4506282806396485,0.8619106080750207,0.8079999999999999,0.8540000000000001,stream,HV,2013 v. 2015
0.4190089702606201,0.8844789170954273,0.833,0.866,stream,HV,2012 v. 2015
0.4933639764785767,0.8809960524868433,0.8240000000000001,0.865,stream,HV,2015 v. 2018
0.4859262704849243,0.8765526338972003,0.7795000000000001,0.853,stream,HV,2013 v. 2016
0.4811567068099976,0.9033648183286126,0.8065,0.87,stream,HV,2012 v. 2016
0.4014350771903992,0.8690297542254913,0.7869999999999999,0.856,stream,HV,2016 v. 2018
0.5390912890434265,0.8926623733574292,0.8069999999999999,0.861,stream,HV,2012 v. 2013
0.5399470925331116,0.8756285862211709,0.8285,0.855,stream,HV,2013 v. 2018
0.5064373314380646,0.8915235636797502,0.8225,0.863,stream,HV,2012 v. 2018
0.4772416353225708,0.8270256806533277,0.8015,0.8420000000000001,swale,CLPX,2015 v. 2018
0.3954873681068421,0.8992672207318835,0.804,0.8690000000000001,swale,CLPX,2012 v. 2018
0.4559774398803711,0.8990628409364824,0.7695000000000001,0.867,swale,CLPX,2013 v. 2018
0.4445385336875916,0.8868018313794134,0.8345,0.865,swale,CLPX,2017 v. 2018
0.4445881247520447,0.8666729691340858,0.7909999999999999,0.863,swale,CLPX,2016 v. 2018
0.4207656383514404,0.8409986539876186,0.815,0.83,swale,CLPX,2012 v. 2015
0.52008256316185,0.8581866149967821,0.7965,0.8290000000000001,swale,CLPX,2013 v. 2015
0.3698403835296631,0.8136594501590865,0.8,0.833,swale,CLPX,2015 v. 2017
0.3956555128097534,0.8097790666950838,0.8145,0.841,swale,CLPX,2015 v. 2016
0.5319996774196625,0.9389082735673208,0.8089999999999999,0.9159999999999999,swale,CLPX,2012 v. 2013
0.3979833722114563,0.9108102881563624,0.7985,0.894,swale,CLPX,2012 v. 2017
0.502423495054245,0.8993378678706329,0.8140000000000001,0.8640000000000001,swale,CLPX,2012 v. 2016
0.4014792442321777,0.8982556014168774,0.7725,0.892,swale,CLPX,2013 v. 2017
0.4776493310928345,0.8923179584054417,0.8059999999999999,0.863,swale,CLPX,2013 v. 2016
0.4516385793685913,0.8820550799629562,0.7945,0.861,swale,CLPX,2016 v. 2017
0.3194078803062439,0.8147173573799682,0.8220000000000001,0.853,watertracks,CLPX,2012 v. 2015
0.329121470451355,0.8545477225757836,0.8190000000000001,0.88,watertracks,CLPX,2012 v. 2017
0.31337040662765503,0.8626543118798433,0.8160000000000001,0.862,watertracks,CLPX,2012 v. 2016
0.2872931361198425,0.8336460227470628,0.8140000000000001,0.879,watertracks,CLPX,2012 v. 2018
0.23448950052261355,0.8739398453261966,0.8245,0.883,watertracks,CLPX,2012 v. 2013
0.5868792235851288,0.8781361665682541,0.8160000000000001,0.856,watertracks,CLPX,2015 v. 2017
0.5033113658428192,0.8547053472932498,0.8109999999999999,0.852,watertracks,CLPX,2015 v. 2016
0.5586717128753662,0.8773292197493381,0.8079999999999999,0.858,watertracks,CLPX,2015 v. 2018
0.5479791760444641,0.8819626738688906,0.812,0.855,watertracks,CLPX,2013 v. 2015
0.5061540007591248,0.8933490541629496,0.8015,0.867,watertracks,CLPX,2016 v. 2017
0.5858328342437744,0.9217559140548068,0.8485,0.888,watertracks,CLPX,2017 v. 2018
0.5410923361778259,0.9244479807654128,0.7949999999999999,0.893,watertracks,CLPX,2013 v. 2017
0.4372860789299011,0.8815218022407583,0.7949999999999999,0.8690000000000001,watertracks,CLPX,2016 v. 2018
0.5629984736442566,0.9067422961944396,0.8065,0.87,watertracks,CLPX,2013 v. 2016
0.4801703095436096,0.9173162257714697,0.7835,0.893,watertracks,CLPX,2013 v. 2018
0.487841010093689,0.9287060067160632,0.8755,0.889,lake,HV,2012 v. 2017
0.5048494637012482,0.923050590582215,0.8400000000000001,0.887,lake,HV,2012 v. 2016
0.5057013630867004,0.8906072369666502,0.871,0.852,lake,HV,2012 v. 2015
0.4181680679321289,0.9057929045542248,0.8759999999999999,0.871,lake,HV,2012 v. 2018
0.5462468862533569,0.917004948996364,0.8759999999999999,0.8759999999999999,lake,HV,2012 v. 2013
0.3672873973846436,0.8936699610112305,0.7945,0.8690000000000001,lake,HV,2016 v. 2017
0.4647327661514282,0.8709163654137755,0.8400000000000001,0.8390000000000001,lake,HV,2015 v. 2017
0.5578527450561523,0.9012247431447972,0.884,0.868,lake,HV,2017 v. 2018
0.5256302654743195,0.9037734792234156,0.8895,0.871,lake,HV,2013 v. 2017
0.4638134837150574,0.8692925550510335,0.8640000000000001,0.8390000000000001,lake,HV,2015 v. 2016
0.310884952545166,0.8666397670851411,0.777,0.855,lake,HV,2016 v. 2018
0.4351660013198853,0.887141633854726,0.8045,0.8590000000000001,lake,HV,2013 v. 2016
0.4133468270301819,0.8557529858302958,0.8380000000000001,0.845,lake,HV,2015 v. 2018
0.4709751009941101,0.8616866254267717,0.8494999999999999,0.8440000000000001,lake,HV,2013 v. 2015
0.4780135750770569,0.8860172155222554,0.8835,0.861,lake,HV,2013 v. 2018
0.3909273147583008,0.8565606142864548,0.8514999999999999,0.8370000000000001,outcrops,CLPX,2013 v. 2016
0.2754761576652527,0.8373029646202829,0.812,0.836,outcrops,CLPX,2013 v. 2018
0.3279486298561096,0.8567279797363865,0.868,0.866,outcrops,CLPX,2012 v. 2013
0.3103722333908081,0.8300750716478749,0.863,0.833,outcrops,CLPX,2013 v. 2015
0.25414514541625977,0.8646026556272244,0.823,0.853,outcrops,CLPX,2013 v. 2017
0.3360915184020996,0.8171372374027961,0.8185,0.8420000000000001,outcrops,CLPX,2016 v. 2018
0.3965163230895996,0.8409040417286338,0.871,0.83,outcrops,CLPX,2012 v. 2016
0.3901396989822388,0.8195010931923692,0.8634999999999999,0.83,outcrops,CLPX,2015 v. 2016
0.30762046575546265,0.8488007000856379,0.8290000000000001,0.8240000000000001,outcrops,CLPX,2016 v. 2017
