,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2016 v. 2017,9.0,7.0,10.0,5.5,7.875
2016 v. 2018,14.0,1.0,1.0,8.0,6.0
2016 v. 2012,3.0,9.0,11.0,14.0,9.25
2016 v. 2013,11.0,11.0,9.0,2.0,8.25
2016 v. 2015,13.0,5.0,8.0,9.5,8.875
2017 v. 2018,7.0,4.0,2.0,3.0,4.0
2017 v. 2012,3.0,13.0,15.0,9.5,10.125
2017 v. 2013,8.0,2.0,6.0,1.0,4.25
2017 v. 2015,10.0,8.0,4.5,7.0,7.375
2018 v. 2012,3.0,3.0,4.5,13.0,5.875
2018 v. 2013,15.0,14.0,12.5,4.0,11.375
2018 v. 2015,6.0,6.0,3.0,12.0,6.75
2012 v. 2013,3.0,15.0,14.0,11.0,10.75
2012 v. 2015,3.0,12.0,12.5,15.0,10.625
2013 v. 2015,12.0,10.0,7.0,5.5,8.625
