,nrmse,ssim,cwssim,gms
2016 v. 2017,0.22727686166763306,0.7706204191902043,0.7909999999999999,0.833
2016 v. 2018,0.12395322322845459,0.8188728774569943,0.7905,0.8280000000000001
2016 v. 2012,0.0384366512298584,0.7746038553950833,0.7865,0.808
2016 v. 2013,0.29761070013046265,0.7322825482776598,0.8109999999999999,0.841
2016 v. 2015,0.13523000478744507,0.7723781220835816,0.8009999999999999,0.815
2017 v. 2018,0.2919543981552124,0.7750224822162912,0.848,0.838
2017 v. 2012,0.1292446255683899,0.7172369141310732,0.7675000000000001,0.8220000000000001
2017 v. 2013,0.27782726287841797,0.814909750943775,0.7909999999999999,0.858
2017 v. 2015,0.1785164475440979,0.768824137569428,0.8105,0.831
2018 v. 2012,0.18339288234710693,0.7946368646366152,0.8049999999999999,0.815
2018 v. 2013,0.10182863473892212,0.7032944448506937,0.767,0.835
2018 v. 2015,0.3135454058647156,0.7711901128788654,0.8240000000000001,0.812
2012 v. 2013,-0.07005965709686279,0.6737485372986102,0.7745,0.8200000000000001
2012 v. 2015,0.2833683490753174,0.731449815448828,0.8240000000000001,0.793
2013 v. 2015,0.1490146517753601,0.7476119344932385,0.804,0.833
