,nrmse,ssim,cwssim,gms
2013 v. 2016,0.939,0.8565606142864548,0.8545,0.837
2013 v. 2018,0.909,0.8373029646202829,0.8525,0.836
2013 v. 2012,0.907,0.8567279797363865,0.8725,0.866
2013 v. 2015,0.914,0.8300750716478749,0.8605,0.833
2013 v. 2017,0.907,0.8646026556272244,0.848,0.853
2016 v. 2018,0.923,0.8171372374027961,0.8425,0.842
2016 v. 2012,0.94,0.8409040417286338,0.8694999999999999,0.83
2016 v. 2015,0.939,0.8195010931923692,0.846,0.83
2016 v. 2017,0.92,0.848800700085638,0.8415,0.8240000000000001
2018 v. 2012,0.913,0.8267212377294523,0.866,0.832
2018 v. 2015,0.944,0.8289670790885882,0.861,0.834
2018 v. 2017,0.947,0.8716237359570345,0.8795,0.833
2012 v. 2015,0.93,0.8309574759266114,0.868,0.833
2012 v. 2017,0.921,0.8722984535915013,0.8605,0.868
2015 v. 2017,0.935,0.8426187296578966,0.8474999999999999,0.829
