,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2013 v. 2016,4.5,5.0,9.0,5.0,5.875
2013 v. 2018,13.0,9.0,10.0,6.0,9.5
2013 v. 2012,14.5,4.0,2.0,2.0,5.625
2013 v. 2015,11.0,11.0,7.5,9.0,9.625
2013 v. 2017,14.5,3.0,11.0,3.0,7.875
2016 v. 2018,8.0,15.0,14.0,4.0,10.25
2016 v. 2012,3.0,8.0,3.0,12.5,6.625
2016 v. 2015,4.5,14.0,13.0,12.5,11.0
2016 v. 2017,10.0,6.0,15.0,15.0,11.5
2018 v. 2012,12.0,13.0,5.0,11.0,10.25
2018 v. 2015,2.0,12.0,6.0,7.0,6.75
2018 v. 2017,1.0,2.0,1.0,9.0,3.25
2012 v. 2015,7.0,10.0,4.0,9.0,7.5
2012 v. 2017,9.0,1.0,7.5,1.0,4.625
2015 v. 2017,6.0,7.0,12.0,14.0,9.75
