,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2018 v. 2015,11.5,13.0,13.0,11.0,12.125
2018 v. 2012,3.0,4.0,3.0,4.0,3.5
2018 v. 2013,10.0,5.0,7.0,5.0,6.75
2018 v. 2017,7.0,8.0,5.0,6.0,6.5
2018 v. 2016,11.5,10.0,9.0,8.5,9.75
2015 v. 2012,3.0,12.0,8.0,14.0,9.25
2015 v. 2013,8.0,11.0,12.0,15.0,11.5
2015 v. 2017,15.0,14.0,15.0,13.0,14.25
2015 v. 2016,14.0,15.0,14.0,12.0,13.75
2012 v. 2013,3.0,1.0,1.0,1.0,1.5
2012 v. 2017,3.0,2.0,6.0,2.0,3.25
2012 v. 2016,3.0,3.0,2.0,7.0,3.75
2013 v. 2017,13.0,6.0,10.0,3.0,8.0
2013 v. 2016,9.0,7.0,4.0,8.5,7.125
2017 v. 2016,6.0,9.0,11.0,10.0,9.0
