,nrmse,ssim,cwssim,gms
2018 v. 2015,0.9,0.8270256806533277,0.8140000000000001,0.842
2018 v. 2012,0.996,0.8992281168887337,0.8420000000000001,0.869
2018 v. 2013,0.908,0.8990628409364824,0.8295,0.867
2018 v. 2017,0.922,0.8868018313794134,0.8320000000000001,0.865
2018 v. 2016,0.9,0.8666729691340858,0.8235,0.863
2015 v. 2012,0.996,0.8409594942227383,0.8240000000000001,0.83
2015 v. 2013,0.916,0.8581866149967821,0.8160000000000001,0.829
2015 v. 2017,0.855,0.8136594501590865,0.808,0.833
2015 v. 2016,0.867,0.8097790666950838,0.812,0.841
2012 v. 2013,0.996,0.9388640791825806,0.8614999999999999,0.916
2012 v. 2017,0.996,0.9107703389204739,0.8315,0.894
2012 v. 2016,0.996,0.8992957340185801,0.845,0.864
2013 v. 2017,0.889,0.8982556014168774,0.8215,0.892
2013 v. 2016,0.915,0.8923179584054417,0.839,0.863
2017 v. 2016,0.924,0.8820550799629562,0.8180000000000001,0.861
