,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2012 v. 2015,3.0,15.0,9.0,14.5,10.375
2012 v. 2017,3.0,13.0,5.0,5.0,6.5
2012 v. 2016,3.0,11.0,8.0,10.0,8.0
2012 v. 2018,3.0,14.0,3.0,6.0,6.5
2012 v. 2013,3.0,10.0,1.0,4.0,4.5
2015 v. 2017,7.0,8.0,13.0,12.0,10.0
2015 v. 2016,13.0,12.0,15.0,14.5,13.625
2015 v. 2018,10.0,9.0,10.5,11.0,10.125
2015 v. 2013,10.0,6.0,10.5,13.0,9.875
2017 v. 2016,12.0,5.0,14.0,9.0,10.0
2017 v. 2018,8.0,2.0,2.0,3.0,3.75
2017 v. 2013,10.0,1.0,6.0,1.5,4.625
2016 v. 2018,15.0,7.0,12.0,8.0,10.5
2016 v. 2013,6.0,4.0,7.0,7.0,6.0
2018 v. 2013,14.0,3.0,4.0,1.5,5.625
