,nrmse,ssim,cwssim,gms
2012 v. 2015,0.981,0.8142630572296119,0.827,0.852
2012 v. 2017,0.981,0.8540617452854795,0.8365,0.879
2012 v. 2016,0.981,0.8621259583654963,0.8295,0.861
2012 v. 2018,0.981,0.8331803653877867,0.8415,0.878
2012 v. 2013,0.981,0.8734248721978433,0.848,0.882
2015 v. 2017,0.956,0.8781361665682541,0.8245,0.856
2015 v. 2016,0.934,0.8547053472932498,0.8160000000000001,0.852
2015 v. 2018,0.946,0.8773292197493381,0.8260000000000001,0.858
2015 v. 2013,0.946,0.8819626738688906,0.8260000000000001,0.855
2017 v. 2016,0.936,0.8933490541629496,0.8225,0.867
2017 v. 2018,0.953,0.9217559140548068,0.845,0.888
2017 v. 2013,0.946,0.9244479807654127,0.8320000000000001,0.893
2016 v. 2018,0.913,0.8815218022407583,0.8255,0.869
2016 v. 2013,0.957,0.9067422961944396,0.8300000000000001,0.87
2018 v. 2013,0.925,0.9173162257714695,0.8375,0.893
