,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2015 v. 2012,13.0,6.0,1.0,3.5,5.875
2015 v. 2017,12.0,8.0,6.5,7.0,8.375
2015 v. 2013,14.0,15.0,12.0,14.0,13.75
2015 v. 2016,15.0,13.0,4.0,10.0,10.5
2015 v. 2018,11.0,9.0,8.0,7.0,8.75
2012 v. 2017,3.0,2.0,3.0,1.0,2.25
2012 v. 2013,4.0,7.0,10.0,9.0,7.5
2012 v. 2016,2.0,1.0,2.0,2.0,1.75
2012 v. 2018,7.5,3.0,5.0,3.5,4.75
2017 v. 2013,5.0,11.0,11.0,12.0,9.75
2017 v. 2016,7.5,5.0,13.0,5.0,7.625
2017 v. 2018,1.0,4.0,6.5,7.0,4.625
2013 v. 2016,6.0,12.0,15.0,15.0,12.0
2013 v. 2018,9.0,14.0,9.0,13.0,11.25
2016 v. 2018,10.0,10.0,14.0,11.0,11.25
