,nrmse,ssim,cwssim,gms
2015 v. 2012,0.891,0.9275589644407676,0.8685,0.893
2015 v. 2017,0.916,0.9190428290489128,0.846,0.884
2015 v. 2013,0.886,0.8867594162242981,0.8275,0.87
2015 v. 2016,0.884,0.9049608331121632,0.8474999999999999,0.878
2015 v. 2018,0.921,0.9189642211924601,0.845,0.884
2012 v. 2017,0.95,0.9492947982117704,0.855,0.908
2012 v. 2013,0.947,0.9254823066543654,0.8325,0.881
2012 v. 2016,0.952,0.9495452462615075,0.8614999999999999,0.906
2012 v. 2018,0.936,0.9373570041694993,0.847,0.893
2017 v. 2013,0.945,0.9112185771959909,0.8320000000000001,0.874
2017 v. 2016,0.936,0.9280737805998567,0.827,0.889
2017 v. 2018,0.956,0.9287336774341761,0.846,0.884
2013 v. 2016,0.942,0.907842263376756,0.8065,0.869
2013 v. 2018,0.934,0.9028055095042007,0.833,0.872
2016 v. 2018,0.922,0.9122258468212496,0.8125,0.876
