,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2012 v. 2017,5.0,1.0,4.0,1.0,2.75
2012 v. 2016,7.5,2.0,1.0,2.0,3.125
2012 v. 2015,12.0,8.0,5.0,11.0,9.0
2012 v. 2018,9.5,4.0,3.0,4.5,5.25
2012 v. 2013,2.0,3.0,2.0,3.0,2.5
2017 v. 2016,14.0,7.0,13.5,6.0,10.125
2017 v. 2015,7.5,11.0,13.5,14.5,11.625
2017 v. 2018,1.0,6.0,6.0,7.0,5.0
2017 v. 2013,3.0,5.0,9.0,4.5,5.375
2016 v. 2015,13.0,12.0,8.0,14.5,11.875
2016 v. 2018,15.0,13.0,15.0,10.0,13.25
2016 v. 2013,9.5,9.0,12.0,9.0,9.875
2015 v. 2018,11.0,15.0,11.0,12.0,12.25
2015 v. 2013,6.0,14.0,10.0,13.0,10.75
2018 v. 2013,4.0,10.0,7.0,8.0,7.25
