,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2017 v. 2015,9.0,8.0,5.0,5.0,6.75
2017 v. 2016,13.0,4.0,7.0,3.0,6.75
2017 v. 2013,2.0,5.0,11.0,9.5,6.875
2017 v. 2012,6.0,1.0,3.0,1.0,2.75
2017 v. 2018,1.0,3.0,6.0,7.0,4.25
2015 v. 2016,14.0,13.0,1.0,11.0,9.75
2015 v. 2013,12.0,15.0,14.0,14.0,13.75
2015 v. 2012,6.0,9.0,2.0,5.0,5.5
2015 v. 2018,11.0,10.0,8.0,5.0,8.5
2016 v. 2013,10.0,11.0,15.0,15.0,12.75
2016 v. 2012,6.0,2.0,4.0,2.0,3.5
2016 v. 2018,15.0,14.0,12.5,12.0,13.375
2013 v. 2012,6.0,6.0,12.5,9.5,8.5
2013 v. 2018,3.0,12.0,9.0,13.0,9.25
2012 v. 2018,6.0,7.0,10.0,8.0,7.75
