,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2018 v. 2012,7.0,4.0,5.0,6.0,5.5
2018 v. 2015,10.5,8.0,10.0,4.0,8.125
2018 v. 2017,2.0,6.0,6.0,7.5,5.375
2018 v. 2016,14.0,14.0,15.0,14.0,14.25
2018 v. 2013,6.0,7.0,8.0,7.5,7.125
2012 v. 2015,12.5,10.0,1.0,11.0,8.625
2012 v. 2017,3.0,1.0,4.0,1.0,2.25
2012 v. 2016,5.0,5.0,2.5,5.0,4.375
2012 v. 2013,4.0,2.0,2.5,2.0,2.625
2015 v. 2017,10.5,12.0,12.0,13.0,11.875
2015 v. 2016,12.5,15.0,9.0,15.0,12.875
2015 v. 2013,15.0,13.0,11.0,12.0,12.75
2017 v. 2016,9.0,9.0,13.0,9.0,10.0
2017 v. 2013,1.0,3.0,7.0,3.0,3.5
2016 v. 2013,8.0,11.0,14.0,10.0,10.75
