,nrmse,ssim,cwssim,gms
2018 v. 2012,0.959,0.898943607968206,0.8685,0.863
2018 v. 2015,0.948,0.8866991875656538,0.8514999999999999,0.875
2018 v. 2017,0.971,0.8965146438356695,0.866,0.858
2018 v. 2016,0.942,0.8391282671955116,0.8295,0.835
2018 v. 2013,0.961,0.8891717756465983,0.8614999999999999,0.858
2012 v. 2015,0.947,0.8731258828868134,0.8765000000000001,0.85
2012 v. 2017,0.97,0.9261527471229617,0.872,0.892
2012 v. 2016,0.963,0.898006625885637,0.873,0.87
2012 v. 2013,0.969,0.9183129136380405,0.873,0.888
2015 v. 2017,0.948,0.8585594035975377,0.8474999999999999,0.843
2015 v. 2016,0.947,0.8350428790532485,0.8534999999999999,0.83
2015 v. 2013,0.94,0.843711323754951,0.851,0.845
2017 v. 2016,0.955,0.8788744373481698,0.8425,0.857
2017 v. 2013,0.972,0.9091373810312888,0.864,0.876
2016 v. 2013,0.957,0.870782791746618,0.8420000000000001,0.854
