Drift Type,Study Area,Drift Area [m^2],Mean Drift Depth [m],Mean Drift Volume [m^3],Std. Drift Depth [m],Median Drift Depth [m],CV Drift Depth,Volume:Area Ratio
watertrack,HV,23636.3674931816,0.8416733381750714,19604.0986328125,0.17003087593779573,0.8567511141300201,0.20201528101918875,0.8294040375902816
watertrack,HV,9069.760464676814,0.842382130889118,7633.6668701171875,0.20324195967212463,0.8204237371683121,0.24127050209102452,0.8416613536650001
watertrack,HV,27802.663731956927,1.15845452879105,32242.1064453125,0.41412953015626586,1.1709906160831451,0.35748449323120757,1.1596768840624716
watertrack,HV,4386.975592063751,0.9680320294234004,4243.8524169921875,0.3082553247853016,0.8979498445987701,0.31843504699830144,0.9673754339252583
watertrack,HV,43782.341710115914,1.026073719115447,44923.5595703125,0.3317211824341262,0.9312788546085358,0.32329176379265895,1.0260657108692957
watertrack,HV,7795.842570906872,0.9793345296840872,7622.16064453125,0.3667004379339834,0.8592153936624527,0.3744383832277141,0.9777212116848303
watertrack,HV,22701.69359175434,0.9519878875074408,21590.13330078125,0.281883099119663,0.890106812119484,0.2960994596871484,0.951036239367761
watertrack,HV,25218.646397154007,0.8605117144110996,21691.779296875,0.2575794852176624,0.8042379766702652,0.2993329212187886,0.8601484375990528
watertrack,HV,16317.898184863328,1.02181124701802,16678.003173828125,0.31722043648682774,0.9360472410917282,0.3104491533172892,1.0220680987762771
watertrack,HV,8373.906096847048,0.9676461093133076,8087.586181640625,0.19214674364894752,0.9377867430448532,0.19857129770852375,0.9658080814502771
lake,HV,35968.61137021146,1.3462286281455826,48441.3447265625,0.278309953945856,1.365837723016739,0.20673305271276646,1.3467671639578704
lake,HV,61505.78248348673,1.3921952389828374,85660.380859375,0.36523707475880257,1.3957907259464264,0.2623461598860597,1.3927207719432457
lake,HV,117563.80394797768,1.376136326476681,161756.568359375,0.25777176081484204,1.3852240145206451,0.18731557030749602,1.3759045125058453
watertrack,HV,41565.96965544597,1.2780611587748802,53102.1630859375,0.27110803254938115,1.2816549837589264,0.2121244595284149,1.2775393795963101
polygon,HV,683.9596997659112,0.8980125115842235,616.0365829467773,0.0993487328370935,0.889954224228859,0.11063179137875041,0.900691346518836
polygon,HV,1336.342278657738,0.8815620991721083,1181.293212890625,0.08365875870459316,0.8848158270120621,0.09489831604961091,0.8839750352560506
polygon,HV,596.8370480785592,0.8848778716788804,535.3511123657227,0.09595989326157828,0.8938833624124527,0.108444223019741,0.8969803635501806
polygon,HV,687.2107110664003,0.900825267275348,618.8669586181641,0.10740613484290717,0.9000784307718277,0.11923081949929054,0.9005490581743382
polygon,HV,520.7091701335929,0.8880941962118202,471.57801818847656,0.08452168870463979,0.886627808213234,0.09517198633339614,0.9056456948270927
polygon,HV,1383.3438751739466,0.9398748385378898,1296.08740234375,0.1046551983691067,0.9400183260440826,0.11135014374032279,0.9369235123701801
polygon,HV,747.6186084789015,0.9448059243928216,712.3836669921875,0.09817505825524162,0.9349257051944733,0.10391029069629691,0.9528704327485873
other,HV,1885.1488670606834,1.1507086928020778,2173.688720703125,0.23496011780638382,1.1857763826847076,0.2041873145446004,1.1530594525897213
other,CLPX,35638.2824740082,0.904706294697347,32242.82763671875,0.12438034379156634,0.8695303499698639,0.13748146168605527,0.9047245096683368
other,HV,23559.06027692807,0.9421973572334351,22197.2275390625,0.14795436842052478,0.9111563265323639,0.15703118596613533,0.9421949465786101
